"       ",New Cases
"Aug 1, 2020",1
"Aug 2, 2020",2
"Aug 3, 2020",2
"Aug 4, 2020",1
"Aug 5, 2020",1
"Aug 6, 2020",2
"Aug 7, 2020",0
"Aug 8, 2020",4
"Aug 9, 2020",0
"Aug 10, 2020",2
"Aug 11, 2020",2
"Aug 12, 2020",2
"Aug 13, 2020",14
"Aug 14, 2020",16
"Aug 15, 2020",15
"Aug 16, 2020",5
"Aug 17, 2020",10
"Aug 18, 2020",28
"Aug 19, 2020",12
"Aug 20, 2020",9
"Aug 21, 2020",17
"Aug 22, 2020",8
"Aug 23, 2020",13
"Aug 24, 2020",9
"Aug 25, 2020",15
"Aug 26, 2020",19
"Aug 27, 2020",28
"Aug 28, 2020",17
"Aug 29, 2020",29
"Aug 30, 2020",32
"Aug 31, 2020",23
"Sep 1, 2020",70
"Sep 2, 2020",102
"Sep 3, 2020",85
"Sep 4, 2020",100
"Sep 5, 2020",51
"Sep 6, 2020",68
"Sep 7, 2020",40
"Sep 8, 2020",60
"Sep 9, 2020",63
"Sep 10, 2020",57
"Sep 11, 2020",49
"Sep 12, 2020",24
"Sep 13, 2020",20
"Sep 14, 2020",32
"Sep 15, 2020",29
"Sep 16, 2020",19
"Sep 17, 2020",13
"Sep 18, 2020",24
"Sep 19, 2020",5
"Sep 20, 2020",14
"Sep 21, 2020",12
"Sep 22, 2020",12
"Sep 23, 2020",21
"Sep 24, 2020",15
"Sep 25, 2020",9
"Sep 26, 2020",5
"Sep 27, 2020",7
"Sep 28, 2020",10
"Sep 29, 2020",15
"Sep 30, 2020",18
"Oct 1, 2020",8
"Oct 2, 2020",13
"Oct 3, 2020",1
"Oct 4, 2020",2
"Oct 5, 2020",9
"Oct 6, 2020",7
"Oct 7, 2020",12
"Oct 8, 2020",10
"Oct 9, 2020",13
"Oct 10, 2020",5
"Oct 11, 2020",2
"Oct 12, 2020",9
"Oct 13, 2020",7
"Oct 14, 2020",3
"Oct 15, 2020",4
"Oct 16, 2020",3
"Oct 17, 2020",1
"Oct 18, 2020",9
"Oct 19, 2020",7
"Oct 20, 2020",10
"Oct 21, 2020",12
"Oct 22, 2020",9
"Oct 23, 2020",9
"Oct 24, 2020",5
"Oct 25, 2020",9
"Oct 26, 2020",13
"Oct 27, 2020",9
"Oct 28, 2020",9
"Oct 29, 2020",12
"Oct 30, 2020",12
"Oct 31, 2020",6
"Nov 1, 2020",2
"Nov 2, 2020",11
"Nov 3, 2020",11
"Nov 4, 2020",16
"Nov 5, 2020",11
"Nov 6, 2020",14
"Nov 7, 2020",11
"Nov 8, 2020",13
"Nov 9, 2020",13
"Nov 10, 2020",8
"Nov 11, 2020",14
"Nov 12, 2020",7
"Nov 13, 2020",14
"Nov 14, 2020",10
"Nov 15, 2020",14
"Nov 16, 2020",19
"Nov 17, 2020",8
"Nov 18, 2020",12
"Nov 19, 2020",12
"Nov 20, 2020",10
"Nov 21, 2020",6
"Nov 22, 2020",7
"Nov 23, 2020",12
"Nov 24, 2020",9
"Nov 25, 2020",14
"Nov 26, 2020",2
"Nov 27, 2020",5
"Nov 28, 2020",4
"Nov 29, 2020",9
"Nov 30, 2020",15
"Dec 1, 2020",21
"Dec 2, 2020",21
"Dec 3, 2020",8
"Dec 4, 2020",15
"Dec 5, 2020",5
"Dec 6, 2020",11
"Dec 7, 2020",8
"Dec 8, 2020",12
"Dec 9, 2020",8
"Dec 10, 2020",12
"Dec 11, 2020",12
"Dec 12, 2020",4
"Dec 13, 2020",3
"Dec 14, 2020",17
"Dec 15, 2020",8
"Dec 16, 2020",7
"Dec 17, 2020",6
